,Date - Heure,target,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
5118,2025-08-02 06:00:00+01:00,33263.75,-3.1543965,0.1971822,1.7685419,-0.92948794,-0.058625437,-0.014231954,-1.4889292,-0.50898963,0.08816032,0.04874748,-0.34874606,-0.64776564,0.25170213,-0.65208197,0.76979405,0.503507,-0.37968677,0.42572248
5857,2025-09-02 01:00:00+01:00,35408.5,-3.0956507,0.948339,1.4604579,-0.23970774,-0.17306711,0.27934152,0.23860584,1.0278337,-0.59522265,0.24715447,-0.80942655,-0.9880551,-0.21900533,-0.61427474,-0.6572025,0.48944193,-0.11018513,0.022346802
5894,2025-09-03 14:00:00+01:00,46701.0,-3.0862203,1.0611446,-1.0255558,1.0611665,-1.1082053,0.22040457,0.43019435,0.10856092,-0.42718872,-1.23937,-0.10113669,0.32516062,-0.6852692,0.32625338,-0.17391263,0.10090063,-0.01099412,-0.023889914
7468,2025-11-08 04:00:00+01:00,40136.75,-1.6134919,-0.34200668,0.24103868,-1.2054334,-0.32899973,-0.034390233,-2.0902712,0.37415358,-0.66312945,0.52276397,0.16718864,0.3647132,0.6307957,-1.0036318,0.6010426,0.5639214,0.786077,-0.2791686
1021,2025-02-12 13:00:00+01:00,68015.5,6.9173913,-3.0461965,-1.1015639,-1.1198964,-1.5989685,0.23526186,0.77010596,-0.20782624,-2.784688,-0.39994615,-0.5386199,-0.6638959,-0.6670025,0.005544038,0.4088127,1.5831407,-0.50340796,0.21594715
2667,2025-04-22 03:00:00+01:00,36770.0,-0.97424805,-0.69391555,0.72518337,-1.1857566,2.2539907,-0.21097106,-0.23238556,0.4792729,0.64214313,0.94408137,0.059963208,0.31019127,0.31670254,-0.34701806,0.8319386,0.6576913,0.12507847,0.5711165
4436,2025-07-04 20:00:00+01:00,47110.5,1.3258847,-1.2884068,2.2535558,-1.1984953,-1.4210684,1.5696306,0.7675302,-0.3097465,0.39322403,0.016773146,1.6199921,0.45231196,-0.16469458,0.3578291,0.77836144,-0.7790675,0.090315424,0.8814871
6277,2025-09-19 13:00:00+01:00,47890.75,-3.200736,-1.5099016,-2.3110952,0.602746,-1.9546003,-0.43483496,-0.07596434,-0.052139,1.3556601,-0.8185583,-0.5456706,0.15888062,-0.7196393,0.59125876,-0.64700776,0.13666652,0.4430619,0.7533225
2305,2025-04-07 01:00:00+01:00,37982.75,-1.9016623,0.65133655,-1.2398635,0.06411508,1.8606472,0.116483256,-0.63196933,0.64562833,-1.1617423,0.71033055,0.67529047,0.3490574,0.54492104,-0.14565793,0.38685542,-0.16003136,-0.5241136,0.44705117
1109,2025-02-16 05:00:00+01:00,56079.0,2.1264973,0.48495883,-0.37853065,-1.3115114,-0.08006099,-1.6661618,-0.17247611,-0.45245913,0.7864118,-0.14348438,2.2261362,-0.22260271,0.75942516,0.119495034,0.37005758,0.4098312,0.25513482,-1.6164647
947,2025-02-09 11:00:00+01:00,63838.25,3.0236142,-2.1400714,-3.6118684,-0.43127003,1.0473732,-0.66607606,0.20059702,-1.1371471,1.2555513,-2.1258948,1.2244421,-0.9568292,0.6919544,-0.4201837,0.12770952,0.9934969,-0.651619,-0.66193235
2943,2025-05-03 15:00:00+01:00,36425.75,-3.090593,-2.0150194,-1.5110719,0.6110764,1.5206946,-0.35512504,0.5323378,-0.1077223,-2.0574439,0.95554125,-1.2748666,0.53028905,-0.6171654,0.10141072,-0.84648234,-0.24654111,0.742641,0.3912838
448,2025-01-19 16:00:00+01:00,65502.75,6.729547,-0.1460673,-0.60746086,-2.3055818,0.66520137,-0.3779116,-1.8870482,-0.00656447,-0.68096745,0.10546636,-0.8123971,-0.8618783,0.58425075,0.2808212,0.30268937,-2.0943084,-0.12554993,0.6621374
4472,2025-07-06 08:00:00+01:00,37782.75,-3.311859,0.38686427,0.046196405,0.21731612,-0.38658148,-0.011575913,-0.079675786,0.025455441,-0.7052908,-0.18446752,0.4368805,0.052722856,-0.10046755,0.12112024,0.3952009,0.18100046,-0.60642374,-0.26556796
2757,2025-04-25 21:00:00+01:00,45894.75,1.8843365,-0.24960065,2.1565156,-1.0894947,2.524414,0.35120928,1.4169885,-0.22498968,-0.49438623,-0.37601522,0.08305999,0.47893825,-0.5931734,0.35443273,0.40002483,-0.017669275,0.09245902,1.3786212
